                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     202                                      886                  1.3000000000000000E+000                  2.0000000000000000E-002                  1.3134710352849443E+008                  5.7783213503627656E+006                  4.2043005776767808E+004                  4.3960069915187708E-002                  3.9517988745868156E-003                  1.1912776433193924E+003                  1.0457733497261793E-099                  1.0897652797146607E-099                  7.7368079679742276E-038                  2.4767849193514890E-001                  1.1617505996958125E-099                  7.2633816180981881E-001                  1.8814854295073594E-003                  1.3000000000000000E+000                  0.0000000000000000E+000                  9.4218779057306461E-008                  3.9425169182927643E-012                  9.9821643823909494E-006                  3.6683801686451623E-001                  1.2249957541869533E-007                  8.9975744403643321E-001                  2.4532779542609413E-003                  1.2999997688851557E+000                  1.2999836296249254E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1806081456209641E+000                  2.2909436400555035E+011                  2.9572291456953864E+011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1281912724643875E-004                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.1449993543108160E+015                               "r24.03.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241017"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.3000000000000000E+000                 -2.4032051667867989E+000                  5.4170316648812866E+000                 -3.0324586098320734E+000                  1.0505245937173905E+001                  6.9999997521714907E-001                  2.8000031580568902E-001                  1.9999708977161967E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.2999999999999867E+000                 -2.4032529096938307E+000                  5.6061014127729871E+000                 -2.7461219517707707E+000                  1.0982465540383597E+001                  6.9999997521714907E-001                  2.8000031580568902E-001                  1.9999708977161967E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.2999999999999732E+000                 -2.4032776087788892E+000                  5.6428603089773732E+000                 -2.5581530029706578E+000                  1.1206823701162735E+001                  6.9999993077223177E-001                  2.8000036029882613E-001                  1.9999708928942095E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.2999999999999594E+000                 -2.4032940860921990E+000                  5.6727118727931742E+000                 -2.4254582880815931E+000                  1.1369163997218166E+001                  6.9999989719252043E-001                  2.8000039391496856E-001                  1.9999708892511014E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.2999999999999428E+000                 -2.4033088440992474E+000                  5.6981222608838920E+000                 -2.3179448987326139E+000                  1.1501937868035277E+001                  6.9999985889717764E-001                  2.8000043225185894E-001                  1.9999708850963360E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.2999999999999245E+000                 -2.4033213985433020E+000                  5.7219501020031176E+000                 -2.2216018496329335E+000                  1.1621990617415142E+001                  6.9999981266053413E-001                  2.8000047853866572E-001                  1.9999708800800153E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2999999999999006E+000                 -2.4033346549065935E+000                  5.7389885276620358E+000                 -2.1516137679919671E+000                  1.1708925073793822E+001                  6.9999977019533499E-001                  2.8000052104993622E-001                  1.9999708754728784E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.2999999999998857E+000                 -2.4033415787691923E+000                  5.7497035592981742E+000                 -2.1089929426233809E+000                  1.1762210504534407E+001                  6.9999973966931373E-001                  2.8000055160907594E-001                  1.9999708721610387E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.2999999999998726E+000                 -2.4033471788154581E+000                  5.7587999948260356E+000                 -2.0731594369477166E+000                  1.1807099405647474E+001                  6.9999971080302503E-001                  2.8000058050668236E-001                  1.9999708690292550E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
